"ID","ID Parent","Intitulé","Acronyme","Description","Type","Util adr parent","Rue","Numéro","Complément d'adresse","Code postal","Localité","Tél","Tél portable","Fax","Courriel","Site web","Région","Pays","UID"
192,,ASBL cat 2 - Centre culturel de Boussu - C.C.B.,CCBOUSSU,Centre culturel de Boussu - C.C.B.,,,,,,,,,,,,,,,
193,,ASBL cat 2 - Centre culturel de Braine-le-Comte - C.C.B.L.C.,CCBRAINELECOMTE,Centre culturel de Braine-le-Comte - C.C.B.L.C.,,,,,,,,,,,,,,,
194,,ASBL cat 2 - Centre culturel de Colfontaine,CCCOLFONTAINE,Centre culturel de Colfontaine,,,,,,,,,,,,,,,
195,,ASBL cat 2 - Centre culturel de Farciennes,CCFARCIENNES,Centre culturel de Farciennes,,,,,,,,,,,,,,,
196,,ASBL cat 2 - Centre culturel de Fontaine,CCFONTAINE,Centre culturel de Fontaine,,,,,,,,,,,,,,,
197,,"ASBL cat 2 - Centre culturel de Frameries (éducation permanente, sports, jeunesse, loisirs, arts, culture, folklore - C.C.F.",CCFRAMERIES,"Centre culturel de Frameries (éducation permanente, sports, jeunesse, loisirs, arts, culture, folklore - C.C.F.",,,,,,,,,,,,,,,
198,,ASBL cat 2 - Centre culturel de Gerpinnes,CCGERPINNES,Centre culturel de Gerpinnes,,,,,,,,,,,,,,,
199,,ASBL cat 2 - Centre culturel de Leuze-en-hainaut - C.C.L.,CCLEUZEENHAINAUT,Centre culturel de Leuze-en-hainaut - C.C.L.,,,,,,,,,,,,,,,
200,,ASBL cat 2 - Centre culturel de Silly,CCSILLY,Centre culturel de Silly,,,,,,,,,,,,,,,
201,,ASBL cat 2 - Centre culturel de Soignies,CCSOIGNIES,Centre culturel de Soignies,,,,,,,,,,,,,,,
202,,ASBL cat 2 - Centre culturel de Thuin-Haute Sambre,CCTHUIN,Centre culturel de Thuin-Haute Sambre,,,,,,,,,,,,,,,
203,,ASBL cat 2 - Centre culturel d'Enghien,CCENGHIEN,Centre culturel d'Enghien,,,,,,,,,,,,,,,
204,,ASBL cat 2 - Centre culturel D'Herlaimont,CCHERLAIMONT,Centre culturel D'Herlaimont,,,,,,,,,,,,,,,
205,,ASBL cat 2 - Centre culturel du Pays des Collines - C.C.P.C.,CCPAYSCOLLINES,Centre culturel du Pays des Collines - C.C.P.C.,,,,,,,,,,,,,,,
206,,ASBL cat 2 - Centre culturel Joseph Faucon,CCJOSEPHFAUCON,Centre culturel Joseph Faucon,,,,,,,,,,,,,,,
207,,"ASBL cat 2 - Centre culturel local de Sivry-Rance ""Terre Chevrotine""",CCSIVRYRANCE,"Centre culturel local de Sivry-Rance ""Terre Chevrotine""",,,,,,,,,,,,,,,
208,,ASBL cat 2 - Centre culturel local en Thiérache,CCTHIERACHE,Centre culturel local en Thiérache,,,,,,,,,,,,,,,
209,,ASBL cat 2 - Centre culturel MJC,CCMJC,Centre culturel MJC,,,,,,,,,,,,,,,
210,,ASBL cat 2 - Centre culturel mouscronnois - C.C.M.,CCMOUSCRONNOIS,Centre culturel mouscronnois - C.C.M.,,,,,,,,,,,,,,,
211,,ASBL cat 2 - Centre culturel régional de Charleroi,CCRCHARLEROI,Centre culturel régional de Charleroi,,,,,,,,,,,,,,,
212,,ASBL cat 2 - Centre Culturel Régional du Centre,CCRCENTRE,Centre Culturel Régional du Centre,,,,,,,,,,,,,,,
213,,ASBL cat 2 - Centre culturel René Magritte - Foyer Culturel - C.C.R.M.,CCRENEMARGRITTE,Centre culturel René Magritte - Foyer Culturel - C.C.R.M.,,,,,,,,,,,,,,,
214,,ASBL cat 2 - Centre d'Action Touristique des Provinces Wallonnes,CATPW,Centre d'Action Touristique des Provinces Wallonnes,,,,,,,,,,,,,,,
215,,ASBL cat 2 - Centre de Coopération et de Recherche pédagogique et technique,CCRPT,Centre de Coopération et de Recherche pédagogique et technique,,,,,,,,,,,,,,,
216,,ASBL cat 2 - Centre d'Essais Horticoles de Wallonie,CEHW,Centre d'Essais Horticoles de Wallonie,,,,,,,,,,,,,,,
217,,"ASBL cat 2 - Centre Hospitalier Universitaire et Pyschiatrique de Mons Borinage, à Mons",CHUPMONSBO,"Centre Hospitalier Universitaire et Pyschiatrique de Mons Borinage, à Mons",,,,,,,,,,,,,,,
218,,ASBL cat 2 - Centre Interculturel de Mons et du Borinage,CIMONSBO,Centre Interculturel de Mons et du Borinage,,,,,,,,,,,,,,,
219,,ASBL cat 2 - Centre Local de Promotion de la Santé de Charleroi-Thuin,CLPSCHARLEROI,Centre Local de Promotion de la Santé de Charleroi-Thuin,,,,,,,,,,,,,,,
220,,ASBL cat 2 - Centre Local de Promotion de la Santé des Arrondissements de Mons et Soignies,CLPSMONS,Centre Local de Promotion de la Santé des Arrondissements de Mons et Soignies,,,,,,,,,,,,,,,
221,,ASBL cat 2 - Centre Local de promotion de la Santé du Hainaut Occidental Wallonie Picarde,SLPSHO,Centre Local de promotion de la Santé du Hainaut Occidental Wallonie Picarde,,,,,,,,,,,,,,,
222,,ASBL cat 2 - Centre Régional d'Action Interculturelle du Centre,CRAICENTRE,Centre Régional d'Action Interculturelle du Centre,,,,,,,,,,,,,,,
223,,ASBL cat 2 - Centre Universitaire Zénobe Gramme,CUZENOBE,Centre Universitaire Zénobe Gramme,,,,,,,,,,,,,,,
224,,"ASBL cat 2 - Centr'Habitat, à LA LOUVIERE",CHLALOUVIERE,"Centr'Habitat, à LA LOUVIERE",,,,,,,,,,,,,,,
225,,ASBL cat 2 - Charleroi dry port,CHARLEROIDRY,Charleroi dry port,,,,,,,,,,,,,,,
226,,ASBL cat 2 - Cité des Métiers de Charleroi,CITEMETCHARLEROI,Cité des Métiers de Charleroi,,,,,,,,,,,,,,,
227,,ASBL cat 2 - Club de la Presse du Hainaut - Centre culturel de la Communication,CLUBPRESSHAINAUT,Club de la Presse du Hainaut - Centre culturel de la Communication,,,,,,,,,,,,,,,
228,,ASBL cat 2 - Commission consultative des Maisons et Centres de Jeunes,CCMCJEUNE,Commission consultative des Maisons et Centres de Jeunes,,,,,,,,,,,,,,,
229,,ASBL cat 2 - Commission de Gestion du Parc Naturel des Hauts-Pays,CGPARCHAUTPAYS,Commission de Gestion du Parc Naturel des Hauts-Pays,,,,,,,,,,,,,,,
230,,"ASBL cat 2 - Commission de gestion du parc naturel du pays des collines - Parc naturel du Pays des Collines - P.N.P.C., à TOURNAI",CGPARCPAYSCOLLINES,"Commission de gestion du parc naturel du pays des collines - Parc naturel du Pays des Collines - P.N.P.C., à TOURNAI",,,,,,,,,,,,,,,
231,,ASBL cat 2 - Conseil des Pouvoirs Organisateurs de l'Enseignement Officiel Neutre Subventionné,CPEONS,Conseil des Pouvoirs Organisateurs de l'Enseignement Officiel Neutre Subventionné,,,,,,,,,,,,,,,
232,,ASBL cat 2 - Contrat de rivière de la Senne,CRSENNE,Contrat de rivière de la Senne,,,,,,,,,,,,,,,
233,,ASBL cat 2 - Contrat de Rivière Dendre,CRDENDRE,Contrat de Rivière Dendre,,,,,,,,,,,,,,,
234,,ASBL cat 2 - Contrat de Rivière du sous-bassin hydrographique de la Haine,CRHAINE,Contrat de Rivière du sous-bassin hydrographique de la Haine,,,,,,,,,,,,,,,
235,,ASBL cat 2 - Contrat de Rivière Escaut-Lys,CRESCAUT,Contrat de Rivière Escaut-Lys,,,,,,,,,,,,,,,
236,,ASBL cat 2 - Contrat de Rivière Sambre & Affluents,CRSAMBRE,Contrat de Rivière Sambre & Affluents,,,,,,,,,,,,,,,
237,,ASBL cat 2 - Culturo-sportive de Brunehaut - C.C.S.,CSBRUNEHAUT,Culturo-sportive de Brunehaut - C.C.S.,,,,,,,,,,,,,,,
238,,ASBL cat 2 - Décrocher la lune,DECROCHERLUNE,Décrocher la lune,,,,,,,,,,,,,,,
239,,ASBL cat 2 - Espace Europe,ESPEUROPE,Espace Europe,,,,,,,,,,,,,,,
240,,ASBL cat 2 - Fédération des Centres d'Etudes et de documentations sociales,FCEDS,Fédération des Centres d'Etudes et de documentations sociales,,,,,,,,,,,,,,,
241,,ASBL cat 2 - Fleurus Culture,FLEURUSCULT,Fleurus Culture,,,,,,,,,,,,,,,
242,,ASBL cat 2 - Fondation Cathédrale Notre-Dame.be,NOTREDAME,Fondation Cathédrale Notre-Dame.be,,,,,,,,,,,,,,,
243,,ASBL cat 2 - Fondation Mons 2015,MONS2015,Fondation Mons 2015,,,,,,,,,,,,,,,
244,,ASBL cat 2 - Foyer culturel à Beloeil,FCBELOEIL,Foyer culturel à Beloeil,,,,,,,,,,,,,,,
245,,ASBL cat 2 - Foyer culturel de Manage - F.C.M.,FCMANAGE,Foyer culturel de Manage - F.C.M.,,,,,,,,,,,,,,,
246,,ASBL cat 2 - Foyer culturel de Péruwelz,FCPERUWELZ,Foyer culturel de Péruwelz,,,,,,,,,,,,,,,
247,,ASBL cat 2 - Foyer culturel de Saint-Ghislain,FCSAINTGHISLAIN,Foyer culturel de Saint-Ghislain,,,,,,,,,,,,,,,
248,,ASBL cat 2 - Foyer socio-culturel d' Antoing,FCANTOING,Foyer socio-culturel d' Antoing,,,,,,,,,,,,,,,
249,,ASBL cat 2 - Grand-Hornu - Musée des Arts contemporains de la Communauté française,GHMAC,Grand-Hornu - Musée des Arts contemporains de la Communauté française,,,,,,,,,,,,,,,
250,,"ASBL cat 2 - Haute Senne Logement, à SOIGNIES",HAUTESENNELOG,"Haute Senne Logement, à SOIGNIES",,,,,,,,,,,,,,,
251,,ASBL cat 2 - Heureux Abri Momignies,HEUREUXABRI,Heureux Abri Momignies,,,,,,,,,,,,,,,
252,,ASBL cat 2 - Initiatives Théâtre Ado Créations - IThAC (Promotion Théâtre),ITHAC,Initiatives Théâtre Ado Créations - IThAC (Promotion Théâtre),,,,,,,,,,,,,,,
253,,ASBL cat 2 - Institut Européen Interuniversitaire de l'Action Sociale,IEIAS,Institut Européen Interuniversitaire de l'Action Sociale,,,,,,,,,,,,,,,
254,,"ASBL cat 2 - Intercom de Développement Econom. des arrondissements de Tournai, d'Ath et de communes avoisinantes - I.D.E.T.A.",IDETA,"Intercom de Développement Econom. des arrondissements de Tournai, d'Ath et de communes avoisinantes - I.D.E.T.A.",,,,,,,,,,,,,,,
255,,ASBL cat 2 - Intercom de Développement Economique et d'Aménagement de la Région Mons-Borinage-Centre - I.D.E.A.,IDEA,Intercom de Développement Economique et d'Aménagement de la Région Mons-Borinage-Centre - I.D.E.A.,,,,,,,,,,,,,,,
256,,"ASBL cat 2 - Intercom de Propreté Publique de Wallonie picarde - I.P.A.L.L.E., à Froyennes",IPALLE,"Intercom de Propreté Publique de Wallonie picarde - I.P.A.L.L.E., à Froyennes",,,,,,,,,,,,,,,
257,,"ASBL cat 2 - Intercom d'Oeuvres médico-sociales des arrondissements de TOURNAI-ATH-MOUSCRON, à TOURNAI",IOMSATOURNAI,"Intercom d'Oeuvres médico-sociales des arrondissements de TOURNAI-ATH-MOUSCRON, à TOURNAI",,,,,,,,,,,,,,,
258,,"ASBL cat 2 - Intercom du Bois d'Havré, à Mons",IBH,"Intercom du Bois d'Havré, à Mons",,,,,,,,,,,,,,,
259,,ASBL cat 2 - Intercom pour la Gestion et la Réalisation d'Etudes techniques et économiques - I.G.R.E.T.E.C.,IGRETEC,Intercom pour la Gestion et la Réalisation d'Etudes techniques et économiques - I.G.R.E.T.E.C.,,,,,,,,,,,,,,,
260,,ASBL cat 2 - Intercommunale de mutualistion en matière informatique et organisationnelle,IMIO,Intercommunale de mutualistion en matière informatique et organisationnelle,,,,,,,,,,,,,,,
261,,"ASBL cat 2 - Intercommunale de Santé Publique du Pays de Charleroi - I.S.P.P.C., à Charleroi",ISPPC,"Intercommunale de Santé Publique du Pays de Charleroi - I.S.P.P.C., à Charleroi",,,,,,,,,,,,,,,
262,,ASBL cat 2 - Keramis - Centre de la céramique de la Communauté Française,KERAMIS,Keramis - Centre de la céramique de la Communauté Française,,,,,,,,,,,,,,,
263,,"ASBL cat 2 - La Maison Ouvrière de l'arrondissement de Charleroi et du Sud-Hainaut, à CHARLEROI",MOARRCHARLEROI,"La Maison Ouvrière de l'arrondissement de Charleroi et du Sud-Hainaut, à CHARLEROI",,,,,,,,,,,,,,,
264,,ASBL cat 2 - La Posterie - Centre culturel de Courcelle,CCCOURCELLE,La Posterie - Centre culturel de Courcelle,,,,,,,,,,,,,,,
265,,"ASBL cat 2 - La Ruche Chapelloise, à CHAPELLE-LEZ-HERLAIMONT",RUCHECHAPELLOISE,"La Ruche Chapelloise, à CHAPELLE-LEZ-HERLAIMONT",,,,,,,,,,,,,,,
266,,"ASBL cat 2 - La Sambrienne, à MONTIGNIES-SUR-SAMBRE",SAMBRIENNE,"La Sambrienne, à MONTIGNIES-SUR-SAMBRE",,,,,,,,,,,,,,,
267,,"ASBL cat 2 - la Société de Logements de Mouscron, à MOUSCRON",SLMOUSCRON,"la Société de Logements de Mouscron, à MOUSCRON",,,,,,,,,,,,,,,
268,,"ASBL cat 2 - la Société de Logements du Haut Escaut, à ANTOING",SLHAUTESCAUT,"la Société de Logements du Haut Escaut, à ANTOING",,,,,,,,,,,,,,,
269,,"ASBL cat 2 - le Centre Intercommunal de Santé Arthur Nazé, à Colfontaine",CISANAZE,"le Centre Intercommunal de Santé Arthur Nazé, à Colfontaine",,,,,,,,,,,,,,,
270,,ASBL cat 2 - Le Daily-Bul,DAILYBUL,Le Daily-Bul,,,,,,,,,,,,,,,
271,,"ASBL cat 2 - Le Foyer de la Haute Sambre, à THUIN",FOYERHAUTESAMBRE,"Le Foyer de la Haute Sambre, à THUIN",,,,,,,,,,,,,,,
272,,"ASBL cat 2 - Le Foyer Fontainois, à FONTAINE-L'EVEQUE",FOYERFONTAINOIS,"Le Foyer Fontainois, à FONTAINE-L'EVEQUE",,,,,,,,,,,,,,,
273,,"ASBL cat 2 - Le Logis Chatelettain, SCRL, à CHATELET",LOGISCHATELETTAIN,"Le Logis Chatelettain, SCRL, à CHATELET",,,,,,,,,,,,,,,
274,,"ASBL cat 2 - Le Logis Dourois, à DOUR",LOGISDOUROIS,"Le Logis Dourois, à DOUR",,,,,,,,,,,,,,,
275,,"ASBL cat 2 - Le Logis Montagnard, à MONTIGNY-LE-TILLEUL",LOGISMONTAGNARD,"Le Logis Montagnard, à MONTIGNY-LE-TILLEUL",,,,,,,,,,,,,,,
276,,"ASBL cat 2 - Le Logis Quaregnonnais, à QUAREGNON",LOGISQUAREGNON,"Le Logis Quaregnonnais, à QUAREGNON",,,,,,,,,,,,,,,
277,,"ASBL cat 2 - Le Logis Saint-Ghislainois, à SAINT-GHISLAIN",LOGISSAINTGHISLAIN,"Le Logis Saint-Ghislainois, à SAINT-GHISLAIN",,,,,,,,,,,,,,,
278,,"ASBL cat 2 - Le Logis Tournaisien, à TOURNAI",LOGISTOURNAISIEN,"Le Logis Tournaisien, à TOURNAI",,,,,,,,,,,,,,,
279,,"ASBL cat 2 - Les [rencontres] Inattendues, musiques et philosophies",INATTENDUES,"Les [rencontres] Inattendues, musiques et philosophies",,,,,,,,,,,,,,,
280,,"ASBL cat 2 - Les Heures Claires, à ESTAIMPUIS",HEURESCLAIRES,"Les Heures Claires, à ESTAIMPUIS",,,,,,,,,,,,,,,
281,,"ASBL cat 2 - Les Jardins de Wallonie, à LUTTRE",JARDINSWALLONIE,"Les Jardins de Wallonie, à LUTTRE",,,,,,,,,,,,,,,
282,,ASBL cat 2 - Les Journées Internationales de l'Elevage et de l'Agriculture de Tournai,JIELEVAGEAGRI,Les Journées Internationales de l'Elevage et de l'Agriculture de Tournai,,,,,,,,,,,,,,,
283,,"ASBL cat 2 - L'Habitat du Pays Vert, à ATH",PAYSVERT,"L'Habitat du Pays Vert, à ATH",,,,,,,,,,,,,,,
284,,ASBL cat 2 - L'Immobilière Publique PERUWELZ-LEUZE-FRASNES,IPPERUWELZ,L'Immobilière Publique PERUWELZ-LEUZE-FRASNES,,,,,,,,,,,,,,,
285,,"ASBL cat 2 - l'Immobilière sociale ""Toit et moi"", à MONS",TOIETMOI,"l'Immobilière sociale ""Toit et moi"", à MONS",,,,,,,,,,,,,,,
286,,"ASBL cat 2 - l'Immobilière Sociale entre Sambre et Haine, à Binche",ISSAMBRE,"l'Immobilière Sociale entre Sambre et Haine, à Binche",,,,,,,,,,,,,,,
287,,"ASBL cat 2 - L'Observatoire, Créateur d'échanges et de transversalité dans le Social",OBSERVATOIRE,"L'Observatoire, Créateur d'échanges et de transversalité dans le Social",,,,,,,,,,,,,,,
288,,"ASBL cat 2 - Lysco, à COMINES-WARNETON",LYSCO,"Lysco, à COMINES-WARNETON",,,,,,,,,,,,,,,
289,,ASBL cat 2 - Maison Culturelle d'Ath,MCATH,Maison Culturelle d'Ath,,,,,,,,,,,,,,,
290,,ASBL cat 2 - Maison Culturelle de Quaregnon,MCQUAREGNON,Maison Culturelle de Quaregnon,,,,,,,,,,,,,,,
291,,"ASBL cat 2 - Maison de la Culture de Tournai, Centre culturel régional et transfrontalier",MCTOURNAI,"Maison de la Culture de Tournai, Centre culturel régional et transfrontalier",,,,,,,,,,,,,,,
292,,ASBL cat 2 - Maison Léon Losseau,LOSSEAU,Maison Léon Losseau,,,,,,,,,,,,,,,
293,,"ASBL cat 2 - Mars, Mons Arts de la Scène",ARTSSCENE,"Mars, Mons Arts de la Scène",,,,,,,,,,,,,,,
294,,"ASBL cat 2 - Mon Toit Fleurusien, à FLEURUS",TOITFLEURUS,"Mon Toit Fleurusien, à FLEURUS",,,,,,,,,,,,,,,
295,,"ASBL cat 2 - Notre Maison, à CHARLEROI",NOTREMAISON,"Notre Maison, à CHARLEROI",,,,,,,,,,,,,,,
296,,"ASBL cat 2 - Parc naturel des Hauts-Pays, à ONNEZIES",PNHAUTPAYS,"Parc naturel des Hauts-Pays, à ONNEZIES",,,,,,,,,,,,,,,
297,,ASBL cat 2 - Parc Naturel des Plaines de l'Escaut,PNPLAINES,Parc Naturel des Plaines de l'Escaut,,,,,,,,,,,,,,,
298,,ASBL cat 2 - Partenalia,PARTENALIA,Partenalia,,,,,,,,,,,,,,,
299,,ASBL cat 2 - Patrimoine du Musée International du Carnaval et du Masque,MUSEEMASQUE,Patrimoine du Musée International du Carnaval et du Masque,,,,,,,,,,,,,,,
300,,ASBL cat 2 - Pays de Geminiacum,GEMINIACUM,Pays de Geminiacum,,,,,,,,,,,,,,,
301,,ASBL cat 2 - Pôle Hainuyer,POLEHAINUYER,Pôle Hainuyer,,,,,,,,,,,,,,,
302,,ASBL cat 2 - Ronde Maison,RONDEMAISON,Ronde Maison,,,,,,,,,,,,,,,
303,,"ASBL cat 2 - Sambre et Biesme, à FARCIENNES",SAMBREETBIESNE,"Sambre et Biesme, à FARCIENNES",,,,,,,,,,,,,,,
304,,ASBL cat 2 - Service d'Accompagnement pour Personnes Handicapées en milieu ouvert,SACCPH,Service d'Accompagnement pour Personnes Handicapées en milieu ouvert,,,,,,,,,,,,,,,
305,,ASBL cat 2 - Service de Promotion de la Santé à l'Ecole,SPSE,Service de Promotion de la Santé à l'Ecole,,,,,,,,,,,,,,,
306,,"ASBL cat 2 - Société Terrienne de Crédit Social du Hainaut, à ATH",STCREDITSOCIAL,"Société Terrienne de Crédit Social du Hainaut, à ATH",,,,,,,,,,,,,,,
307,,ASBL cat 2 - SUDHAINA - Centre culturel de Chimay,SUDHAINA,SUDHAINA - Centre culturel de Chimay,,,,,,,,,,,,,,,
308,,"ASBL cat 2 - TAMAT - Centre de la Tapisserie, des Arts Muraux et des Arts du Tissu de la Fédération Wallonie Bruxelles",TAMAT,"TAMAT - Centre de la Tapisserie, des Arts Muraux et des Arts du Tissu de la Fédération Wallonie Bruxelles",,,,,,,,,,,,,,,
309,,ASBL cat 2 - Technocité,TECHNOCITE,Technocité,,,,,,,,,,,,,,,
310,,ASBL cat 2 - Télévision Mons-Borinage,TELEMB,Télévision Mons-Borinage,,,,,,,,,,,,,,,
311,,Régies - RPA Hainaut Sécurité,RPA HS,RPA Hainaut Sécurité,,,,,,,,,,,,,,,
312,,Régies - Régie des mess de la Louvière,RMESSLL,Régie des mess de la Louvière,,,,,,,,,,,,,,,
313,,Régies - Régie de Charleroi,RCHARL,Régie de Charleroi,,,,,,,,,,,,,,,
314,,Régies - Régie de Mons Borinage,RMONSBO,Régie de Mons Borinage,,,,,,,,,,,,,,,
315,,Régies - Régie Athénée Provincial de Morlanwelz-Mariemont-Binche-Carnières,RAPMMBC,Régie Athénée Provincial de Morlanwelz-Mariemont-Binche-Carnières,,,,,,,,,,,,,,,
316,,Régies - Régie Ath-Leuze,RATH,Régie Ath-Leuze,,,,,,,,,,,,,,,
317,,Régies - Régie Hôtel de Savoie,RHSAVOIE,Régie Hôtel de Savoie,,,,,,,,,,,,,,,
318,,Régies - Régie Nursing de Tournai,RNTOURNAI,Régie Nursing de Tournai,,,,,,,,,,,,,,,
319,,Régies - Régie Cité Georges Point,RCGPOINT,Régie Cité Georges Point,,,,,,,,,,,,,,,
320,,Régies - Régie Hainaut Concept Impression,RHCI,Régie Hainaut Concept Impression,,,,,,,,,,,,,,,
321,,Régies - Régie des Foyers Provinciaux,RFPROVINCIAUX,Régie des Foyers Provinciaux,,,,,,,,,,,,,,,
322,,Régies - Régie des Mess et Hébergement d'Havré,RMHHAVRE,Régie des Mess et Hébergement d'Havré,,,,,,,,,,,,,,,
323,,Régies - Régie Hainaut Formation,RHFormation,Régie Hainaut Formation,,,,,,,,,,,,,,,
324,,"Régies - Régie Centre d'Etudes, de recherche appliquée et de services à la collectivités de la HEPH Condorcet",RCERA,"Régie Centre d'Etudes, de recherche appliquée et de services à la collectivités de la HEPH Condorcet",,,,,,,,,,,,,,,
325,,Régies - Régie Impulsion,RIMPULS,Régie Impulsion,,,,,,,,,,,,,,,
326,,Régies - Régie Hainaut Analyses,RHANALYSES,Régie Hainaut Analyses,,,,,,,,,,,,,,,
